datetime,hour,day_of_week,month,hour_sin,hour_cos,total_power_W,motor_power_W,camera_power_W,instruments_power_W,other_power_W,solar_irradiance,solar_power_W,solar_energy_Wh,battery_energy_Wh,battery_soc,battery_voltage_V,battery_current_A,mission_phase,criticality,motor_active,camera_active,instruments_active,motor_priority,camera_priority,instruments_priority,future_power,future_battery_soc
2006-12-16 17:24:00,17,5,12,-0.9659258262890683,-0.25881904510252063,4216.0,0.0,2.0,51.0,4163.0,258.81904510252105,155.29142706151265,2.588190451025211,7932.321523784359,79.3232152378436,48.0,84.59809526955182,data_collection,low,0,0,1,2,3,1,5360.0,78.45576380902051
2006-12-16 17:25:00,17,5,12,-0.9659258262890683,-0.25881904510252063,5360.0,0.0,2.0,48.0,5310.0,258.81904510252105,155.29142706151265,2.588190451025211,7845.576380902051,78.45576380902051,48.0,108.43142860288515,data_collection,low,0,0,1,2,3,1,5374.0,77.5859790468641
2006-12-16 17:26:00,17,5,12,-0.9659258262890683,-0.25881904510252063,5374.0,0.0,4.0,51.0,5319.0,258.81904510252105,155.29142706151265,2.588190451025211,7758.5979046864095,77.5859790468641,48.0,108.72309526955182,data_collection,low,0,0,1,2,3,1,5388.0,76.71386095137434
2006-12-16 17:27:00,17,5,12,-0.9659258262890683,-0.25881904510252063,5388.0,0.0,2.0,51.0,5335.0,258.81904510252105,155.29142706151265,2.588190451025211,7671.3860951374345,76.71386095137434,48.0,109.01476193621848,data_collection,low,0,0,1,2,3,1,3666.0,76.1287428558846
2006-12-16 17:28:00,17,5,12,-0.9659258262890683,-0.25881904510252063,3666.0,0.0,2.0,51.0,3613.0,258.81904510252105,155.29142706151265,2.588190451025211,7612.874285588459,76.1287428558846,48.0,73.13976193621848,data_collection,low,0,0,1,2,3,1,3520.0,75.56795809372817
2006-12-16 17:29:00,17,5,12,-0.9659258262890683,-0.25881904510252063,3520.0,0.0,4.0,51.0,3465.0,258.81904510252105,155.29142706151265,2.588190451025211,7556.7958093728175,75.56795809372817,48.0,70.09809526955182,data_collection,low,0,0,1,2,3,1,3702.0,74.97683999823843
2006-12-16 17:30:00,17,5,12,-0.9659258262890683,-0.25881904510252063,3702.0,0.0,2.0,51.0,3649.0,258.81904510252105,155.29142706151265,2.588190451025211,7497.683999823843,74.97683999823843,48.0,73.88976193621848,data_collection,low,0,0,1,2,3,1,3700.0,74.38605523608202
2006-12-16 17:31:00,17,5,12,-0.9659258262890683,-0.25881904510252063,3700.0,0.0,2.0,51.0,3647.0,258.81904510252105,155.29142706151265,2.588190451025211,7438.605523608201,74.38605523608202,48.0,73.84809526955182,data_collection,low,0,0,1,2,3,1,3668.0,73.80060380725894
2006-12-16 17:32:00,17,5,12,-0.9659258262890683,-0.25881904510252063,3668.0,0.0,2.0,51.0,3615.0,258.81904510252105,155.29142706151265,2.588190451025211,7380.060380725893,73.80060380725894,48.0,73.18142860288515,data_collection,low,0,0,1,2,3,1,3662.0,73.21615237843585
2006-12-16 17:33:00,17,5,12,-0.9659258262890683,-0.25881904510252063,3662.0,0.0,4.0,48.0,3610.0,258.81904510252105,155.29142706151265,2.588190451025211,7321.615237843585,73.21615237843585,48.0,73.05642860288515,data_collection,low,0,0,1,2,3,1,4448.0,72.50070094961278
2006-12-16 17:34:00,17,5,12,-0.9659258262890683,-0.25881904510252063,4448.0,0.0,2.0,51.0,4395.0,258.81904510252105,155.29142706151265,2.588190451025211,7250.070094961277,72.50070094961278,48.0,89.43142860288515,data_collection,low,0,0,1,2,3,1,5412.0,71.62458285412303
